city,price,price_per_m2,area_m2,rooms,floor,neighborhood,sub_neighborhood,is_private_owner,url
Warszawa,959000.0,16766.0,57.2,3.0,4.0,Mokotów,Czerniaków,False,https://www.otodom.pl/pl/oferta/po-generalnym-remoncie-gotowe-do-zamieszkania-ID4zS5s
Warszawa,1049650.0,14995.0,70.0,2.0,1.0,Mokotów,Sadyba,False,https://www.otodom.pl/pl/oferta/2-3-pokoje-ogrod-garaz-okazja-ID4zbMQ
Warszawa,650000.0,13000.0,50.0,2.0,3.0,Praga-Południe,Grochów,True,https://www.otodom.pl/pl/oferta/50-m-loggia-5-m-2-pokoje-dwustronne-cegla-grochow-ID4AUK9
Warszawa,900000.0,18637.0,48.29,2.0,2.0,Wola,Odolany,False,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-wraz-z-miejscem-w-garazu-ID4AGJw
Warszawa,1189000.0,16959.0,70.11,3.0,5.0,Bemowo,Górce,False,https://www.otodom.pl/pl/oferta/3-pokoje-z-klimatyzacja-i-balkonem-bemowo-ID4zDVA
Warszawa,1120000.0,21386.0,52.37,2.0,2.0,Mokotów,Stary Mokotów,True,https://www.otodom.pl/pl/oferta/stary-mokotow-klimatyczne-2-pokojowe-mieszkanie-52-37-m2-ID4AUKG
Warszawa,1070000.0,15028.0,71.2,4.0,4.0,Ochota,Szczęśliwice,False,https://www.otodom.pl/pl/oferta/przestronne-4-pokoje-balkon-ochota-ID4AKcg
Warszawa,914300.0,20500.0,44.6,2.0,2.0,Mokotów,Służewiec,False,https://www.otodom.pl/pl/oferta/miejsce-postojowe-jasne-balkon-cybernetyki-ID4ARmG
Warszawa,820000.0,15501.0,52.9,2.0,3.0,Ursynów,Natolin,False,https://www.otodom.pl/pl/oferta/balkon-piwnica-dwustronne-garderoba-ID4ACOl
Warszawa,750000.0,20661.0,36.3,2.0,1.0,Mokotów,Służewiec,False,https://www.otodom.pl/pl/oferta/zamkniete-osiedle-jasne-parking-komorka-ID4zR3L
Warszawa,1030000.0,18820.0,54.73,2.0,1.0,Mokotów,Stegny,False,https://www.otodom.pl/pl/oferta/balkon-gotowe-do-wprowadzenia-okazja-ID4ybi0
Warszawa,745000.0,24866.0,29.96,1.0,0.0,Wilanów,Zawady,False,https://www.otodom.pl/pl/oferta/kawalerka-ogrod-125m-premium-ID4AiC4
Warszawa,1064999.0,18950.0,56.2,2.0,0.0,Wilanów,Błonia Wilanowskie,False,https://www.otodom.pl/pl/oferta/teodorowicza-2-ogrodki-i-2-tarasy-parter-ID4A2Kf
Warszawa,1571894.0,16866.0,93.2,4.0,3.0,Wola,Odolany,False,https://www.otodom.pl/pl/oferta/4-pokoje-na-woli-z-garderoba-i-duzym-salonem-ID4AUKa
Warszawa,1650000.0,26613.0,62.0,3.0,4.0,Bielany,Wawrzyszew,False,https://www.otodom.pl/pl/oferta/3-pok-62-m2-2020-r-metro-mlociny-ID4AM9n
Warszawa,570000.0,13902.0,41.0,2.0,1.0,Żoliborz,Sady Żoliborskie,False,https://www.otodom.pl/pl/oferta/2-pok-41-m2-sady-zoliborskie-ID4Atbd
Warszawa,610000.0,22593.0,27.0,2.0,,Wola,Mirów,False,https://www.otodom.pl/pl/oferta/2-pokoje-hala-mirowska-rondo-onz-15-pietro-ID4z7SY
Warszawa,1569208.0,19247.0,81.53,4.0,0.0,Mokotów,Siekierki,False,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-81m2-ogrodek-ID4xors
Warszawa,789000.0,15202.0,51.9,2.0,2.0,Wawer,Międzylesie,False,https://www.otodom.pl/pl/oferta/jasne-mieszkanie-w-kamienicy-blisko-skm-i-parku-ID4zsWj
Warszawa,887018.0,11716.0,75.71,4.0,0.0,Białołęka,Brzeziny,False,https://www.otodom.pl/pl/oferta/bez-pcc-bez-prowizji-kameralne-osiedle-2026-ID4xxCb
Warszawa,544750.0,14941.0,36.46,2.0,1.0,Białołęka,Brzeziny,False,https://www.otodom.pl/pl/oferta/bez-pcc-bez-prowizji-kameralne-osiedle-2026-ID4xxCa
Warszawa,949000.0,14992.0,63.3,3.0,4.0,Bielany,Słodowiec,False,https://www.otodom.pl/pl/oferta/balkon-piwnica-metro-nowa-elewacja-ID4rVqW
Warszawa,861000.0,12988.0,66.29,3.0,4.0,Ochota,Stara Ochota,False,https://www.otodom.pl/pl/oferta/3-z-potencjalem-na-4-idealne-pod-inwestycje-ID4AUJk
Warszawa,750000.0,12712.0,59.0,3.0,0.0,Białołęka,Brzeziny,True,https://www.otodom.pl/pl/oferta/3-pokoje-59m2-i-55m2-ogrodek-i-tarasy-parking-bezposrednio-ID4AEQT
Warszawa,475000.0,19792.0,24.0,1.0,3.0,Wola,Koło,False,https://www.otodom.pl/pl/oferta/przytulna-kawalerka-blisko-parku-ID4yN5H
Warszawa,1250000.0,23585.0,53.0,2.0,2.0,Mokotów,Sadyba,True,https://www.otodom.pl/pl/oferta/2-pokojowe-sloneczne-ciche-mieszkanie-na-sadybie-ID4AUIY
Warszawa,855630.0,27000.0,31.69,1.0,1.0,Mokotów,Sielce,False,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-31m2-bez-posrednikow-ID4vtFO
Warszawa,1250000.0,19501.0,64.1,3.0,2.0,Wola,Odolany,True,https://www.otodom.pl/pl/oferta/3-pokoje-64-m-dwustronne-balkon-garaz-bezposrednio-wola-ID4AOyH
Warszawa,679000.0,13580.0,50.0,3.0,3.0,Bemowo,Jelonki Północne,True,https://www.otodom.pl/pl/oferta/2-pokoje-przerobione-na-3-bemowo-jelonki-polnocne-ID4AUIS
Warszawa,1107000.0,24972.0,44.33,2.0,3.0,Żoliborz,Sady Żoliborskie,False,https://www.otodom.pl/pl/oferta/zoliborz-artystyczny-dwa-pokoje-sprzedam-ID4AzxO
Warszawa,630000.0,19596.0,32.15,2.0,2.0,Bemowo,Chrzanów,False,https://www.otodom.pl/pl/oferta/heweliusza-10-cesja-dwupokojowe-do-odbioru-ID4AzxM
Warszawa,790000.0,21259.0,37.16,2.0,0.0,Bemowo,Chrzanów,False,https://www.otodom.pl/pl/oferta/sprzedam-2-pokoje-z-ogrodkami-lazurowa-17c-ID4AnJr
Warszawa,1265000.0,27987.0,45.2,2.0,0.0,Ochota,Filtry,False,https://www.otodom.pl/pl/oferta/2-pokoje-filtry-stara-ochota-filtry-ID4A1pX
Warszawa,570000.0,17813.0,32.0,2.0,5.0,Białołęka,Henryków,True,https://www.otodom.pl/pl/oferta/mieszkanie-2-pokojowe-ul-modlinska-przy-ratuszu-ID4tBCg
Warszawa,850000.0,14595.0,58.24,3.0,1.0,Białołęka,Grodzisk,True,https://www.otodom.pl/pl/oferta/3-pokoje-58m2-duzy-balkon-15m2-garaz-komorka-bialoleka-ID4AwA4
Warszawa,849000.0,15134.0,56.1,4.0,3.0,Mokotów,Wyględów,False,https://www.otodom.pl/pl/oferta/swietna-lokalizacja-idealne-pod-inwestycje-ID4zyYa
Warszawa,685000.0,14668.0,46.7,2.0,8.0,Bielany,Wrzeciono,True,https://www.otodom.pl/pl/oferta/2-pokoje-z-balkonem-46-7-m-bielany-blisko-metra-i-lasu-ID4AUts
Warszawa,809000.0,18982.0,42.62,2.0,8.0,Wola,Czyste,False,https://www.otodom.pl/pl/oferta/2-pok-mieszkanie-blisko-metra-m-postojowe-ID4AiC6
Warszawa,1169000.0,18116.0,64.53,4.0,4.0,Wola,Młynów,False,https://www.otodom.pl/pl/oferta/mieszkanie-4-pok-na-woli-blisko-metra-ID4AhZW
Warszawa,699000.0,13468.0,51.9,2.0,2.0,Białołęka,Tarchomin,True,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-z-balkonem-na-tarchominie-52-m-ID4AUHR
